id	status	onde	texto	tipo	defeito	evidencia
ATD-MESA-05	corrigida	pages/DashboardPage.jsx:223 (texto em pages/DashboardPage.jsx:24-28)	"Atendimento" · "Espera" · "Automação" (segmento laranja na ativa)	seleção	—	<Tabs look="segmented"> na 223; rótulos na constante TABS (25-27); ativa = SEG_ACTIVE bg-chat-orange (components/ui/Tabs.jsx:24) com cantos de 6px por pages/dashboard.css:19; aria-selected e setas em Tabs.jsx:101-107, :136
ATD-MESA-06	confere	pages/DashboardPage.jsx:228	(número ao lado do rótulo da aba)	tempo-real	— (a aba não anuncia a mudança; compensado por ATD-MESA-08)	count: tabCounts[tab.value] na 228, desenhado por Count (components/ui/Tabs.jsx:39-48); a região aria-live das 218-220 cobre espera e andamento
ATD-MESA-07	confere	components/ui/Tabs.jsx:38	(sem número; a aba fica só com o rótulo)	variante	—	Count devolve null com value 0 (components/ui/Tabs.jsx:38)
ATD-MESA-10	corrigida	components/QueueList.jsx:6, components/MyConversationsList.jsx:6 (texto em pages/DashboardPage.jsx:257, pages/DashboardPage.jsx:271)	"Nenhum atendimento em espera." · "Nenhum atendimento em automação." · "Nenhum atendimento em andamento."	busca-sem-resultado	busca sem resultado AUSENTE: mostra a frase de lista vazia, que afirma algo falso ("nenhum em espera")	as listas recebem visibleMine/visibleWaiting/visibleAutomation já filtradas (DashboardPage.jsx:111-113) e o AsyncState só tem isEmpty; 'em automação' vem da 271, longe das refs
ATD-MESA-11	corrigida	pages/DashboardPage.jsx:228 (texto em pages/DashboardPage.jsx:257)	"Nenhum atendimento em espera." · (o número da aba conta o total sem a busca)	filtro-ativo	contadores ignoram a busca (`tabCounts` usa as listas sem filtro) — número e lista se contradizem	tabCounts (104-108) usa as listas sem filtro; a busca só entra em visible* (111-113); o literal está na 257, fora de ±10 da 228
ATD-MESA-12	corrigida	pages/DashboardPage.jsx:286-288	(conversa aberta sem item correspondente em nenhuma aba até o socket trazê-la)	variante	—	a 115 é a variável derivada selectedConversation (inclui pendingConversation, 116-117); quem desenha é o ConversationView da 287; o efeito 132-136 solta a pendente quando ela entra numa lista
ATD-MESA-13	corrigida	pages/DashboardPage.jsx:286, :304	(a conversa some e volta o painel vazio) · "Selecione uma conversa na lista ao lado para ler o histórico e responder ao cliente."	tempo-real	(suspeita) sem aviso de por que a conversa sumiu; `selectedId` fica guardado e reabre sozinha se a conversa voltar	'Selecione uma conversa…' não existe no código (abreviação da 304); selectedId (52) não é limpo quando a conversa sai de queue/myConversations (115-117)
ATD-MESA-14	confere	pages/DashboardPage.jsx:238	(item some da aba atual; a aba não acompanha)	variante	(suspeita) conversa aberta sem item destacado em nenhuma aba visível	activeTab (51) não muda quando a conversa passa da fila para myConversations; cada aba só lista a sua coleção (238-275)
ATD-MESA-15	corrigida	pages/DashboardPage.jsx:326, :223	(troca para a aba Atendimento, abre a conversa e fecha o aviso)	interação:abrir pelo aviso	—	a 84 é o handler openTransferred (85-87); o gatilho é o <TransferNotice onOpen> da 326 e a troca aparece nas abas (223); tirei as aspas de Atendimento (literal só na 25)
ATD-MESA-16	corrigida	pages/DashboardPage.jsx:287, :316	(modal fecha e a conversa abre no painel; aba NÃO muda)	sucesso	(suspeita) se estava em Espera/Automação, a conversa aberta não aparece na aba atual	a 319 é o handler onCreated (320-322): setPendingConversation + setSelectedId, sem setActiveTab; o resultado aparece no ConversationView (287) e no desmonte do modal (316)
ATD-MESA-18	confere	pages/DashboardPage.jsx:151	(faixa de status dos canais — `ChannelStatusBanner`, outra parte — some)	responsivo	(suspeita) usa largura da janela, não o espaço medido da mesa	className hidden lg:block na 151 depende de selectedConversation e do breakpoint lg da janela, não de layout.lista
ATD-MESA-19	corrigida	pages/DashboardPage.jsx:287	(a conversa selecionada ocupa o painel principal)	variante	—	<ConversationView> nas 287-294; o texto listava props (painelModo etc.), não o que aparece
ATD-MESA-22	duplicata	pages/DashboardPage.jsx:315	(modal Transferir atendimento por cima da mesa)	interação:modal aberto	—	mesmo estado de ATD-TRF-01 (abertura do TransferModal, components/TransferModal.jsx:183); a 315 só monta o modal; gatilho em components/ConversationView.jsx:639-648
ATD-MESA-23	duplicata	pages/DashboardPage.jsx:316-325	(modal Iniciar conversa por cima da mesa)	interação:modal aberto	—	mesmo estado de ATD-INI-01 (components/StartConversationModal.jsx:116); gatilho no botão Nova (DashboardPage.jsx:182-190)
ATD-MESA-24	duplicata	components/ConversationView.jsx:979-985	(modal Encerrar atendimento por cima da conversa)	interação:modal aberto	—	mesmo estado de ATD-ENC-01 (components/CloseReasonModal.jsx:72); gatilho em ConversationView.jsx:649-658
ATD-MESA-25	corrigida	pages/DashboardPage.jsx:278	(a barra Equipe é montada de novo; sem mudança visível própria)	variante	—	key={profileVersion} na 278; profileVersion sobe em components/AppShell.jsx:114 ao salvar o perfil; o texto era '—'
ATD-MESA-26	corrigida	pages/DashboardPage.jsx:326	(aviso fixo no rodapé da tela, visível mesmo com a lista escondida)	variante	—	<TransferNotice> na 326 fica fora do <aside> (156-279), que é o que some em tela estreita (159); o aviso é fixed bottom-5 (components/TransferNotice.jsx:24); o texto era '—'
ATD-LAY-01	corrigida	pages/DashboardPage.jsx:158-160, hooks/useWorkspaceLayout.js:37	(layout provisório)	responsivo	—	larguraDePalpite (37-41) é o valor inicial do useState (44) até o ResizeObserver medir (46-58) | coordenador: a 37 é a função de palpite (valor inicial); o que desenha o layout provisório são as classes da lista em pages/DashboardPage.jsx:158-160
ATD-LAY-02	confere	pages/dashboard.css:254	(lista de 332px com cabeçalho, busca, abas e Equipe)	responsivo	—	'expandida' com largura ≥ 332+420(+268) (hooks/useWorkspaceLayout.js:18-19); 332px em pages/dashboard.css:254
ATD-LAY-03	confere	pages/dashboard.css:255	(coluna de 72px só com avatares)	responsivo	—	'rail' nas 21-27 de useWorkspaceLayout.js; classe is-rail em DashboardPage.jsx:160 → 72px em pages/dashboard.css:255
ATD-LAY-04	confere	pages/dashboard.css:257	(nada disso aparece)	responsivo	no rail não dá para ver qual aba está ativa nem trocar de aba / iniciar conversa sem expandir	a 257 esconde .chat-inbox-heading/-search/-tabs e a última div do aside, que é o TeamPanel (DashboardPage.jsx:278)
ATD-LAY-05	confere	pages/dashboard.css:257	(rail mostra só os itens filtrados; o campo de busca está escondido)	filtro-ativo	filtro ativo invisível: rail mostra lista incompleta sem nenhum sinal	a busca (DashboardPage.jsx:193-207) some pela 257, mas as listas seguem recebendo visible* filtradas (111-113, 240, 251, 265)
ATD-LAY-06	confere	pages/dashboard.css:261	(no rail, esqueleto, frase de vazio, erro e sem-permissão ficam escondidos; só o ícone de expandir aparece)	responsivo	carregando/erro/sem-permissão invisíveis no rail; rail vazio = coluna em branco	a 261 esconde todo filho do tabpanel que não é <ul>: esqueleto, <p> e alerta do AsyncState (components/ui/AsyncState.jsx:5, :17, :21, :31)
ATD-LAY-11	confere	pages/DashboardPage.jsx:160	(lista em 100%; painel da conversa escondido)	responsivo	—	'oculta' abaixo de 492 (useWorkspaceLayout.js:30); is-aberta (width 100%, dashboard.css:256) na 160 e main hidden na 283
ATD-LAY-12	confere	pages/DashboardPage.jsx:159	(lista escondida; conversa em 100%)	responsivo	—	a 159 esconde o aside com listaOcupaTudo && selectedConversation && !listaAberta; o main fica block (283)
ATD-LAY-13	corrigida	pages/dashboard.css:217-225, components/ConversationView.jsx:987-991	(o painel ocupa a área da conversa) · "Voltar à conversa"	responsivo	—	a 289 só repassa painelModo; is-painel-alternado nasce em ConversationView.jsx:554 (painelAlternado :317); regras de .conv-raiz em dashboard.css:217-225 (e 281-283); o literal está na CV:990
ATD-LAY-14	corrigida	pages/DashboardPage.jsx:158-160, :283	(volta ao rail + conversa)	interação:escolher fecha a lista	—	a 79 é setListaAberta(false) dentro do handler selectConversation (75-80); o efeito é o aside voltar a rail (158-160) e o main reaparecer (283); é interação, não variante por dado
ATD-LST-01	confere	components/MyConversationsList.jsx:6	(esqueleto de 3 linhas)	carregando	— (escondido no rail: ver ATD-LAY-06)	AsyncState na 6 com status inicial 'loading' (hooks/useMyConversations.js:11); esqueleto de 3 linhas por padrão (components/ui/AsyncState.jsx:14)
ATD-LST-02	confere	components/QueueList.jsx:6	(esqueleto de 3 linhas)	carregando	— (escondido no rail: ver ATD-LAY-06)	AsyncState na 6 com queueStatus (DashboardPage.jsx:252, :266), um status só para Espera e Automação (hooks/useQueue.js:11)
ATD-LST-09	corrigida	components/QueueList.jsx:6, components/MyConversationsList.jsx:6	AUSENTE	recarregando	os hooks não expõem `refresh` nem `reloading` e nunca recarregam — nem depois de "Reconectando…"; eventos perdidos na queda só voltam com F5 (suspeita)	as 13 são o useEffect de carga com deps [token] (useQueue.js:24, useMyConversations.js:24); nenhum ouve 'connect'; os retornos (useQueue.js:74, useMyConversations.js:98) não têm refresh nem reloading; o lugar do estado são as listas
ATD-LST-10	corrigida	pages/DashboardPage.jsx:228, components/QueueList.jsx:6	(o número da aba Espera/Automação sobe pelo socket enquanto o painel mostra erro ou sem permissão)	tempo-real	contador e painel se contradizem	a 29 é o handler onNew (29-37), que acrescenta sem olhar status; tabCounts (DashboardPage.jsx:104-108) conta o array enquanto o AsyncState da QueueList mostra erro/sem permissão
ATD-ITEM-01	confere	components/ConversationListItem.jsx:137 · pages/dashboard.css:59	(filete laranja)	variante	—	data-estado na 137; 'atendimento' com assignedAgentId ou status assigned (24); cor em pages/dashboard.css:59
ATD-ITEM-02	confere	components/ConversationListItem.jsx:137 · pages/dashboard.css:60	(filete âmbar)	variante	—	estadoDaConversa cai em 'espera' (26); pages/dashboard.css:60
ATD-ITEM-03	confere	components/ConversationListItem.jsx:137 · pages/dashboard.css:61	(filete roxo)	variante	—	'automacao' com triageState pending (25); pages/dashboard.css:61
ATD-ITEM-04	errada-no-merito	components/ConversationListItem.jsx:137 · pages/dashboard.css:62	AUSENTE (o filete verde não aparece em tela nenhuma)	variante	— (regra sem efeito: a mesa tira a conversa encerrada das listas, e a Supervisão, que lista encerradas com o item compacto, não tem o ancestral .chat-workspace que a regra exige)	'encerrado' só com status closed (23); a mesa remove no close (useMyConversations.js:84, useQueue.js:39-41); a Supervisão usa o item compacto (pages/SupervisionPage.jsx:150), mas .chat-workspace só existe em DashboardPage.jsx:150 e ConversationModal.jsx:25, e dashboard.css:62 exige esse ancestral
ATD-ITEM-05	confere	components/ConversationListItem.jsx:136 · pages/dashboard.css:68	(fundo em degradê, contorno laranja, filete cheio; `aria-current="true"`)	seleção	—	aria-current na 136, is-selected na 138; degradê, contorno e filete em pages/dashboard.css:68-72
ATD-ITEM-06	confere	pages/dashboard.css:63	(fundo de hover, filete opaco)	interação:hover	—	hover em pages/dashboard.css:63-65 (fundo e ::after com opacity 1)
ATD-ITEM-09	confere	components/ConversationListItem.jsx:153	(hora some)	variante	—	messageTime && na 153; formatMessageTime devolve null sem data (39)
ATD-ITEM-11	confere	components/ConversationListItem.jsx:152	"{nameLabel}" (title do nome cortado)	interação:tooltip	só por hover (sem equivalente a toque)	title={nameLabel} na 152; o corte é text-overflow em pages/dashboard.css:77; o texto estava sem aspas nem parênteses | coordenador: só formato — o local e o texto originais já valiam (intervalo inteiro conta; anotação/separador/parênteses normalizados); status rebaixado de corrigida para confere
ATD-ITEM-12	corrigida	components/ConversationListItem.jsx:157 (texto em components/ConversationListItem.jsx:9-17)	"{última mensagem}" · "💠 Pix" · "📷 Foto" · "🎤 Áudio" · "🎥 Vídeo" · "📄 Documento" · "😀 Figurinha" · "📍 Localização" · "{telefone}"	variante	—	previewText (62) vem de getPreviewText (29-36) com os rótulos de MEDIA_TYPE_LABELS (9-17), a mais de 10 linhas da 157
ATD-ITEM-13	confere	components/ConversationListItem.jsx:156	(selo ! vermelho, ✓ cinza, ✓✓ cinza ou ✓✓ verde)	variante	status só por glifo/cor + title: spans sem nome acessível e tiques aria-hidden	MessageStatusTicks na 156 só com lastMessageDirection outbound; glifos, cores e title em components/MessageStatusTicks.jsx:21-53, svg aria-hidden (:13)
ATD-ITEM-14	corrigida	components/ConversationListItem.jsx:165 (texto em utils/place.js:13, utils/place.js:30)	"{localidade}" · "{localidade} · {município}" · "{município}" (title com o mesmo texto)	variante	—	'Barão de Tromaí…' só existe em comentários (ConversationListItem.jsx:52, utils/place.js:3); local vem de localMaisEspecifico (Espera) ou nomeDoLocal (59-61)
ATD-ITEM-15	confere	components/ConversationListItem.jsx:166	"{setor}"	variante	—	sectorName na 166
ATD-ITEM-17	confere	components/ConversationListItem.jsx:172	"IA · {motivo}" ou "IA"	variante	—	IA{aiTriageReasonName ? ` · ${…}` : ''} na 172
ATD-ITEM-20	confere	components/ConversationListItem.jsx:176	"{nome do atendente}" (ficha sem borda)	variante	—	ficha is-dono na 176 (sem borda em pages/dashboard.css:99)
ATD-ITEM-21	confere	components/ConversationListItem.jsx:163	(3ª linha some)	variante	—	condição da 163 (local, setor, triagem pendente, IA ou dono)
ATD-ITEM-24	corrigida	components/ConversationListItem.jsx:189-193	AUSENTE (nada muda até o socket tirar o item)	salvando	sem indicação de envio; dá para confirmar de novo	a DashboardPage.jsx:91 é o callback closeConversation(...).catch(() => {}); nenhum estado de envio no item: o botão das 189-193 segue igual e o confirm (90) pode ser repetido
ATD-ITEM-25	corrigida	components/ConversationListItem.jsx:189-193	AUSENTE (`.catch(() => {})`)	erro	erro silencioso: item continua na fila sem explicação	a DashboardPage.jsx:91 é o catch vazio; o lugar do erro seria o item (189-193); busquei role=alert/avisar/setError no DashboardPage e no item: nada
ATD-ITEM-26	corrigida	components/QueueList.jsx:8, pages/DashboardPage.jsx:296	(item some; se era a conversa aberta, volta o painel vazio)	sucesso	—	a useQueue.js:39 é o handler onRemoved (39-41); o item some do map (QueueList.jsx:8) e, se era a aberta, selectedConversation vira null e volta o vazio (DashboardPage.jsx:286, :296)
ATD-RAIL-01	corrigida	components/ConversationListItem.jsx:104	(só avatar 36px; sem prévia, hora, fichas nem o botão de finalizar; aria-label com o nome)	variante	—	ramo rail 102-127 sem onQuickClose; aria-label={nameLabel} (111); "Finalizar" entre aspas não está a ±10 da 104 (a mais perto é a 90)
ATD-RAIL-02	confere	components/ConversationListItem.jsx:113 · pages/dashboard.css:271	(fundo selecionado + borda laranja à esquerda; `aria-current`)	seleção	—	is-selected e aria-current (112-113); pages/dashboard.css:271
ATD-RAIL-03	confere	components/ConversationListItem.jsx:122	(bolinha no canto do avatar, `aria-hidden`)	tempo-real	não lida não é anunciada: o nome acessível da linha é só o nome	span chat-rail-unread aria-hidden (122); o aria-label da linha (111) é só o nome
ATD-RAIL-04	confere	components/ConversationListItem.jsx:123	dica "{nome}" (portal no body)	interação:tooltip	(suspeita) em toque o nome só aparece ao tocar, e tocar já abre a conversa	DicaFlutuante na 123 com gatilho de mouseenter (106; components/DicaFlutuante.jsx:48); no toque o onClick (109) também seleciona
ATD-RAIL-05	corrigida	components/ConversationListItem.jsx:123	"{nameLabel}" (dica em portal)	foco-revela	—	a DicaFlutuante.jsx:50 é o mapeamento onFocus: mostrar; quem desenha a dica é a 123 (portal em DicaFlutuante.jsx:62-66)
